addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,juris_desc,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex
84,BROOKLYN,2018-02-28,17:55:00,362945820,2018-02-28T00:00:00.000,18:45:00,COMPLETED,N.Y. POLICE DEPT,40.695499696,VIOLATION,INSIDE,-73.98713449,HARRASSMENT 2,PATROL BORO BKLYN NORTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",,2018-02-28T00:00:00.000,18-24,ASIAN/PAC.ISL,M,987818.0,192663.0,UNKNOWN,ASIAN/PAC.ISL,M
72,BROOKLYN,2018-02-28,10:00:00,508871092,2018-02-28T00:00:00.000,17:00:00,COMPLETED,N.Y. POLICE DEPT,40.656571214,MISDEMEANOR,FRONT OF,-74.003627173,PETIT LARCENY,PATROL BORO BKLYN SOUTH,338.0,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,18-24,WHITE HISPANIC,M,983244.0,178480.0,,,
42,BRONX,2018-02-28,20:00:00,990783436,,,COMPLETED,N.Y. POLICE DEPT,40.827366921,MISDEMEANOR,FRONT OF,-73.906859958,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BRONX,101.0,ASSAULT 3,STREET,2018-02-28T00:00:00.000,25-44,UNKNOWN,F,1010027.0,240720.0,UNKNOWN,WHITE HISPANIC,M
75,BROOKLYN,2018-02-28,00:01:00,875580294,2018-02-28T00:00:00.000,15:38:00,COMPLETED,N.Y. POLICE DEPT,40.671106911,MISDEMEANOR,INSIDE,-73.881432957,SEX CRIMES,PATROL BORO BKLYN NORTH,681.0,"CHILD, ENDANGERING WELFARE",COMMERCIAL BUILDING,2018-03-05T00:00:00.000,<18,BLACK,M,1017141.0,183798.0,,,
45,BRONX,2018-02-28,16:00:00,246929711,2018-03-01T00:00:00.000,06:30:00,COMPLETED,N.Y. POLICE DEPT,40.830798914,MISDEMEANOR,INSIDE,-73.82694879600001,PETIT LARCENY,PATROL BORO BRONX,338.0,"LARCENY,PETIT FROM BUILDING,UN",PARKING LOT/GARAGE (PRIVATE),2018-03-01T00:00:00.000,UNKNOWN,UNKNOWN,D,1032140.0,242004.0,,,
43,BRONX,2018-02-28,22:20:00,280426653,2018-02-28T00:00:00.000,22:30:00,COMPLETED,N.Y. POLICE DEPT,40.824216352,MISDEMEANOR,,-73.875285108,DANGEROUS DRUGS,PATROL BORO BRONX,567.0,"MARIJUANA, POSSESSION 4 & 5",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1018767.0,239583.0,25-44,BLACK,M
109,QUEENS,2018-02-28,05:00:00,998044054,2018-02-28T00:00:00.000,05:16:00,COMPLETED,N.Y. POLICE DEPT,40.757361023,VIOLATION,INSIDE,-73.801565807,HARRASSMENT 2,PATROL BORO QUEENS NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,25-44,ASIAN/PAC.ISL,F,1039225.0,215263.0,25-44,ASIAN/PAC.ISL,M
10,MANHATTAN,2018-02-28,19:09:00,412634332,2018-02-28T00:00:00.000,19:10:00,COMPLETED,N.Y. POLICE DEPT,40.743445867,MISDEMEANOR,FRONT OF,-74.001697587,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO MAN SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,D,983780.0,210131.0,25-44,WHITE,M
40,BRONX,2018-02-28,17:21:00,711920020,,,COMPLETED,N.Y. POLICE DEPT,40.816040445,FELONY,,-73.90808246600001,DANGEROUS WEAPONS,PATROL BORO BRONX,792.0,WEAPONS POSSESSION 1 & 2,STREET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1009693.0,236593.0,,,
101,QUEENS,2018-02-28,08:00:00,428856789,2018-02-28T00:00:00.000,08:20:00,COMPLETED,N.Y. POLICE DEPT,40.599233751,VIOLATION,INSIDE,-73.764934431,HARRASSMENT 2,PATROL BORO QUEENS SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,45-64,WHITE HISPANIC,F,1049528.0,157678.0,25-44,WHITE HISPANIC,F
